id,name,type,address,original_address,city,district,special,lng,lat
cinema_1,基隆秀泰影城,首輪,中正區信一路177號,中正區信一路177號（華冠大樓）7至10樓,基隆市,中正區,,121.744792,25.1309333
cinema_2,台北信義威秀影城,首輪、首輪藝術,信義區松壽路16、18號,信義區松壽路16、18號,臺北市,信義區,4DX、THX廳、金馬聯名影廳,121.56654,25.0356102
cinema_3,MUVIE CINEMAS松仁威秀,首輪,信義區松仁路58號,信義區松仁路58號10樓（遠百信義A13）,臺北市,信義區,全廳THX、TITAN巨幕廳、MUCROWN頂級影廳,121.5679505,25.0367556
cinema_4,誠品電影院,首輪、首輪藝術,信義區菸廠路80號,信義區菸廠路80號（誠品生活松菸店）地下2樓,臺北市,信義區,,121.5616125,25.0446343
cinema_5,喜樂時代影城南港店,首輪、首輪藝術,南港區忠孝東路七段299號,南港區忠孝東路七段299號（CityLink南港店）C棟11至14樓,臺北市,南港區,,121.6045939,25.0525541
cinema_6,台北京站威秀影城,首輪,大同區市民大道一段209號,大同區市民大道一段209號（台北京站大樓，與京站時尚廣場台北店共構）5至7樓,臺北市,大同區,,121.5182923,25.0491295
cinema_7,新民生戲院,首輪,松山區民生東路五段190號,松山區民生東路五段190號3樓,臺北市,松山區,,121.5641453,25.0586876
cinema_8,總督影城,首輪,松山區長安東路二段219號,松山區長安東路二段219號3樓,臺北市,松山區,,121.544872,25.0483627
cinema_9,微風影城,首輪,松山區復興南路一段39號,松山區復興南路一段39號（微風廣場）8樓（與索尼影業共同經營）,臺北市,松山區,,121.5452192,25.0459159
cinema_10,哈拉影城,首輪,內湖區康寧路三段72號,內湖區康寧路三段72號（哈啦生活館）3-4樓,臺北市,內湖區,響震椅、FREELAX跨腳影廳、親子電影院,121.6114623,25.0696916
cinema_11,國賓大戲院,首輪,萬華區成都路88號,萬華區成都路88號,臺北市,萬華區,巨幕廳（Dolby Atmos）、D-BOX,121.5045693,25.0429619
cinema_12,樂聲影城,首輪,萬華區武昌街二段85號,萬華區武昌街二段85號,臺北市,萬華區,巨幕廳,121.5048323,25.045373
cinema_13,台北西門町in89豪華數位影城,首輪,萬華區武昌街二段89號,萬華區武昌街二段89號,臺北市,萬華區,LUXE A RealD Experience 影廳、Premium COACH廳（Dolby Atmos）,121.5040534,25.045536
cinema_14,台北獅子林新光影城,首輪,萬華區西寧南路36號,萬華區西寧南路36號（獅子林商業大樓）4至5樓,臺北市,萬華區,,121.5062379,25.0450439
cinema_15,台北真善美劇院,首輪藝術,萬華區漢中街116號,萬華區漢中街116號（新世界大樓）7樓,臺北市,萬華區,,121.5072911,25.0428605
cinema_16,台北西門威秀影城,首輪,萬華區漢中街52號,萬華區漢中街52號8-11樓,臺北市,萬華區,,121.5071127,25.0438973
cinema_17,喜樂時代影城今日店,首輪,萬華區峨嵋街52號,萬華區峨嵋街52號4樓,臺北市,萬華區,,121.5053281,25.0436534
cinema_18,百老匯數位影城,首輪,文山區羅斯福路四段200號,文山區羅斯福路四段200號3至5樓,臺北市,文山區,,121.5369093,25.0107917
cinema_19,光點華山電影館,首輪藝術,中正區八德路一段1號,中正區八德路一段1號（華山文創園區中六電影館）,臺北市,中正區八德路一段1號（華山文創園區,,121.5293005,25.0432788
cinema_20,台北長春國賓影城,首輪、首輪藝術,中山區長春路176號,中山區長春路176號（原長春戲院）,臺北市,中山區,,121.5341874,25.0545942
cinema_21,台北欣欣秀泰影城,首輪,中山區林森北路247號,中山區林森北路247號,臺北市,中山區,ScreenX廳,121.525751,25.0541282
cinema_22,光點台北,首輪藝術,中山區中山北路二段18號,中山區中山北路二段18號,臺北市,中山區,,121.5223736,25.0534605
cinema_23,美麗華大直影城,首輪,中山區敬業三路22號,中山區敬業三路22號（美麗華百樂園）6至9樓,臺北市,中山區,IMAXAURO11.1Dolby Cinema,121.5564366,25.0827115
cinema_24,美麗新大直皇家影城,首輪,中山區北安路780號,中山區北安路780號（美麗新廣場大直館）B2,臺北市,中山區,全院Royal Cinemas皇家影城,121.5538124,25.0848679
cinema_25,台北天母新光影城,首輪,士林區忠誠路二段202號,士林區忠誠路二段202號（新光三越天母店B館）4樓,臺北市,士林區,OSIM天王廳,121.5338221,25.1172459
