id,name,address,city
1,基隆秀泰影城,基隆市中正區信一路177號,基隆市
2,台北信義威秀,台北市信義區松壽路16、18號,台北市
3,MUVIE CINEMAS台北松仁威秀,台北市信義區松仁路58號10樓,台北市
4,新民生戲院,台北市松山區民生東路五段190號3樓,台北市
5,台北南港LaLaport威秀影城,台北市南港區經貿二路131號5樓,台北市
6,喜樂時代影城,台北市南港區忠孝東路7段299號11、12、13、14樓,台北市
7,微風影城,台北市松山區復興南路一段39號(微風廣場7-8樓),台北市
8,誠品電影院,台北市信義區菸廠路88號B2,台北市
9,總督影城,台北市松山區長安東路二段219號5樓之1,台北市
10,哈拉影城,台北市內湖區康寧路三段72號,台北市
11,國賓戲院,台北市萬華區成都路88號,台北市
12,樂聲影城,台北市萬華區武昌街二段85號,台北市
13,台北新光影城,台北市萬華區西寧南路36號4樓、5樓,台北市
14,台北京站威秀,台北市大同區市民大道一段209號5樓,台北市
15,in89豪華數位影城,台北市萬華區武昌街二段89號,台北市
16,真善美戲院,台北市萬華區漢中街116號,台北市
17,喜樂時代影城西門今日店,台北市萬華區峨眉街52號,台北市
18,台北西門威秀影城,台北市萬華區漢中街52號8-11樓,台北市
19,光點華山電影館,台北市中正區八德路一段1號,台北市
20,百老匯影城公館店,台北市中正區羅斯福路四段200號3~5樓,台北市
21,美麗華大直,台北市中山區敬業三路22號6-9樓,台北市
22,台北天母新光影城,台北市士林區忠誠路二段202號4樓,台北市
23,欣欣秀泰影城,台北市中山區林森北路247號,台北市
24,國賓長春影城,台北市中山區長春路176號,台北市
25,美麗新大直皇家影城,台北市中山區北安路780號B2,台北市
26,光點台北電影院,台北市中山區中山北路二段18號,台北市
27,板橋大遠百威秀影城,新北市板橋區新站路28號10樓,新北市
28,林口三井OUTLET威秀影城,新北市林口區文化三路一段356號3樓,新北市
29,新莊鴻金寶麻吉影城,新北市新莊區民安路188巷5號,新北市
30,板橋秀泰影城,新北市板橋區縣民大道二段3號2-4樓,新北市
31,三重天台戲院,新北市三重區重新路二段78號4樓,新北市
32,國賓林口昕境廣場,新北市林口區文化三路一段402巷2號4F,新北市
33,國賓新莊晶冠廣場影城,新北市新莊區五工路66號3、4F（晶冠廣場）,新北市
34,樹林秀泰影城,新北市樹林區樹新路40-6號,新北市
35,土城秀泰影城,新北市土城區學府路二段210號,新北市
36,國賓影城淡水禮萊廣場,新北市淡水區中正路一段2號,新北市
