atmovies_id,full_title,chinese_title,english_title,runtime,release_date,detail_url
ffen79619824,絕命終結站 血脈 Final Destination: Bloodlines,絕命終結站,血脈 Final Destination: Bloodlines,109,2025-05-14,https://www.atmovies.com.tw/movie/ffen79619824/
fajp28513331,老派 Analog,老派,Analog,119,2025-05-16,https://www.atmovies.com.tw/movie/fajp28513331/
fwko31414806,怒女 Wannabe,怒女,Wannabe,102,2025-05-16,https://www.atmovies.com.tw/movie/fwko31414806/
fwen27131358,此刻的我們 We Live in Time,此刻的我們,We Live in Time,107,2025-05-16,https://www.atmovies.com.tw/movie/fwen27131358/
fmen23770030,蝸牛少女回憶錄 Memoir of a Snail,蝸牛少女回憶錄,Memoir of a Snail,94,2025-05-16,https://www.atmovies.com.tw/movie/fmen23770030/
fbfr19858184,第一夫人的逆襲 Bernadette,第一夫人的逆襲,Bernadette,93,2025-05-16,https://www.atmovies.com.tw/movie/fbfr19858184/
fmen62168299,不可能的任務：最終清算 Mission: Impossible - The Final Reckoning,不可能的任務：最終清算,Mission: Impossible - The Final Reckoning,163,2025-05-17,https://www.atmovies.com.tw/movie/fmen62168299/
fhen21380552,殭屍合唱團：夢想未完 Hung Up on a Dream,殭屍合唱團：夢想未完,Hung Up on a Dream,109,2025-05-16,https://www.atmovies.com.tw/movie/fhen21380552/
fsis26218798,對街的小星星 Solitude,對街的小星星,Solitude,76,2025-05-16,https://www.atmovies.com.tw/movie/fsis26218798/
fwcn56244174,搜查瑠公圳 Where the River Flows,搜查瑠公圳,Where the River Flows,109,2025-05-22,https://www.atmovies.com.tw/movie/fwcn56244174/
ften20969586,雷霆特攻隊* Thunderbolts,雷霆特攻隊*,Thunderbolts,126,2025-04-30,https://www.atmovies.com.tw/movie/ften20969586/
fahk23461006,獵金·遊戲 A Gilded Game,獵金·遊戲,A Gilded Game,129,2025-05-09,https://www.atmovies.com.tw/movie/fahk23461006/
faen47068946,會計師2 The Accountant 2,會計師2,The Accountant 2,132,2025-04-24,https://www.atmovies.com.tw/movie/faen47068946/
