atmovies_id,chinese_title,detail_url,english_title,full_title,release_date,runtime
flen11655566,星際寶貝：史迪奇,https://www.atmovies.com.tw/movie/flen11655566/,,星際寶貝：史迪奇,,
fwcn56244174,搜查瑠公圳,https://www.atmovies.com.tw/movie/fwcn56244174/,,搜查瑠公圳,,
ffen79619824,絕命終結站 血脈,https://www.atmovies.com.tw/movie/ffen79619824/,,絕命終結站 血脈,,
fajp28513331,老派,https://www.atmovies.com.tw/movie/fajp28513331/,,老派,,
fwko31414806,怒女,https://www.atmovies.com.tw/movie/fwko31414806/,,怒女,,
fwen27131358,此刻的我們,https://www.atmovies.com.tw/movie/fwen27131358/,,此刻的我們,,
fmen23770030,蝸牛少女回憶錄,https://www.atmovies.com.tw/movie/fmen23770030/,,蝸牛少女回憶錄,,
fbfr19858184,第一夫人的逆襲,https://www.atmovies.com.tw/movie/fbfr19858184/,,第一夫人的逆襲,,
fmen62168299,不可能的任務：最終清算,https://www.atmovies.com.tw/movie/fmen62168299/,,不可能的任務：最終清算,,
fhen21380552,殭屍合唱團：夢想未完,https://www.atmovies.com.tw/movie/fhen21380552/,,殭屍合唱團：夢想未完,,
fsis26218798,對街的小星星,https://www.atmovies.com.tw/movie/fsis26218798/,,對街的小星星,,
ften20969586,雷霆特攻隊*,https://www.atmovies.com.tw/movie/ften20969586/,,雷霆特攻隊*,,
fahk23461006,獵金·遊戲,https://www.atmovies.com.tw/movie/fahk23461006/,,獵金·遊戲,,
fhko15766876,聖夜：惡魔都市,https://www.atmovies.com.tw/movie/fhko15766876/,,聖夜：惡魔都市,,
faen47068946,會計師2,https://www.atmovies.com.tw/movie/faen47068946/,,會計師2,,
faen83566834,MINECRAFT麥塊電影,https://www.atmovies.com.tw/movie/faen83566834/,,MINECRAFT麥塊電影,,
fscn72884478,夏日最後的祕密,https://www.atmovies.com.tw/movie/fscn72884478/,,夏日最後的祕密,,
fwjp11219254,花束般的戀愛,https://www.atmovies.com.tw/movie/fwjp11219254/,,花束般的戀愛,,
fltw75338640,有病才會喜歡你,https://www.atmovies.com.tw/movie/fltw75338640/,,有病才會喜歡你,,
fren27674700,禁夜屍,https://www.atmovies.com.tw/movie/fren27674700/,,禁夜屍,,
frth33636006,冥婚鬧泰大,https://www.atmovies.com.tw/movie/frth33636006/,,冥婚鬧泰大,,
fsen31193180,罪人,https://www.atmovies.com.tw/movie/fsen31193180/,,罪人,,
fwen32214413,囍宴,https://www.atmovies.com.tw/movie/fwen32214413/,,囍宴,,
fken47967302,萬王之王,https://www.atmovies.com.tw/movie/fken47967302/,,萬王之王,,
fmen33030449,宮﨑駿的奇幻世界,https://www.atmovies.com.tw/movie/fmen33030449/,,宮﨑駿的奇幻世界,,
fsno14828040,取精急轉彎,https://www.atmovies.com.tw/movie/fsno14828040/,,取精急轉彎,,
fako92197800,ATEEZ演唱會電影,https://www.atmovies.com.tw/movie/fako92197800/,,ATEEZ演唱會電影,,
fajp32277931,超時空武士,https://www.atmovies.com.tw/movie/fajp32277931/,,超時空武士,,
fkjp35636950,怪獸8號：Mission,https://www.atmovies.com.tw/movie/fkjp35636950/,Recon,怪獸8號：Mission Recon,,
fmen33092501,所以親親會消失對不對,https://www.atmovies.com.tw/movie/fmen33092501/,,所以親親會消失對不對,,
fgjp35631332,GIVEN被贈與的未來劇場版：去海邊,https://www.atmovies.com.tw/movie/fgjp35631332/,,GIVEN被贈與的未來劇場版：去海邊,,
fccn27922374,長安三萬里,https://www.atmovies.com.tw/movie/fccn27922374/,,長安三萬里,,
fwtw68858879,誰在看著我們,https://www.atmovies.com.tw/movie/fwtw68858879/,,誰在看著我們,,
fstw75285956,沈睡的水下巨人,https://www.atmovies.com.tw/movie/fstw75285956/,,沈睡的水下巨人,,
fuen30955489,直到黎明,https://www.atmovies.com.tw/movie/fuen30955489/,,直到黎明,,
fgjp33050528,劇場版 世界計畫,https://www.atmovies.com.tw/movie/fgjp33050528/,,劇場版 世界計畫,,
foit27797557,歌劇生死戀,https://www.atmovies.com.tw/movie/foit27797557/,,歌劇生死戀,,
foen26442053,奧德蓋任務,https://www.atmovies.com.tw/movie/foen26442053/,,奧德蓋任務,,
feen20215234,秘密會議,https://www.atmovies.com.tw/movie/feen20215234/,,秘密會議,,
fdtw75654438,跳進部落的孩子,https://www.atmovies.com.tw/movie/fdtw75654438/,,跳進部落的孩子 ,,
fatw29493077,器子,https://www.atmovies.com.tw/movie/fatw29493077/,,器子,,
fbja29324132,少年與狗,https://www.atmovies.com.tw/movie/fbja29324132/,,少年與狗,,
ftth38873903,鬼房客,https://www.atmovies.com.tw/movie/ftth38873903/,,鬼房客,,
fkfr28185868,北極小迷狐：吉娜&尤克,https://www.atmovies.com.tw/movie/fkfr28185868/,,北極小迷狐：吉娜&尤克,,
fren32155919,叛逃公主歷險記,https://www.atmovies.com.tw/movie/fren32155919/,,叛逃公主歷險記,,
fujp34737926,超人力霸王雅克,https://www.atmovies.com.tw/movie/fujp34737926/,,超人力霸王雅克,,
fdjp34442690,366日,https://www.atmovies.com.tw/movie/fdjp34442690/,,366日,,
fmjp35380400,我在平行時空戀上妳,https://www.atmovies.com.tw/movie/fmjp35380400/,,我在平行時空戀上妳,,
fipt14961016,我依然在此,https://www.atmovies.com.tw/movie/fipt14961016/,,我依然在此,,
ffjp30110630,夏之庭,https://www.atmovies.com.tw/movie/ffjp30110630/,,夏之庭,,
fgja32868318,型男主廚三星夢：巴黎篇,https://www.atmovies.com.tw/movie/fgja32868318/,,型男主廚三星夢：巴黎篇,,
fhjp29279903,青春末世物語,https://www.atmovies.com.tw/movie/fhjp29279903/,,青春末世物語,,
ffel64772188,喵的奇幻漂流,https://www.atmovies.com.tw/movie/ffel64772188/,,喵的奇幻漂流,,
fcjp30400536,我們的恐龍日記,https://www.atmovies.com.tw/movie/fcjp30400536/,,我們的恐龍日記,,
fskr27791872,屍咒,https://www.atmovies.com.tw/movie/fskr27791872/,,屍咒,,
fbtw48993666,赤心巔峰,https://www.atmovies.com.tw/movie/fbtw48993666/,,赤心巔峰,,
flcn10415576,第一爐香,https://www.atmovies.com.tw/movie/flcn10415576/,,第一爐香,,
fhkr14941222,綁架影帝黃晸珉,https://www.atmovies.com.tw/movie/fhkr14941222/,,綁架影帝黃晸珉,,
facn71933073,留給未來的殘影,https://www.atmovies.com.tw/movie/facn71933073/,,留給未來的殘影,,
flfr31754656,小王子,https://www.atmovies.com.tw/movie/flfr31754656/,,小王子,,
fwtw27118867,何處,https://www.atmovies.com.tw/movie/fwtw27118867/,,何處,,
fsjp28498459,茶道小精靈：千,https://www.atmovies.com.tw/movie/fsjp28498459/,,茶道小精靈：千,,
fgen28499593,石像鬼歹逗陣,https://www.atmovies.com.tw/movie/fgen28499593/,,石像鬼歹逗陣,,
fhen29531790,心的告白,https://www.atmovies.com.tw/movie/fhen29531790/,,心的告白,,
feil73669502,我的乳房逃跑中,https://www.atmovies.com.tw/movie/feil73669502/,,我的乳房逃跑中,,
