display_title,original_title,release_date,runtime,poster_url,tmdb_id,success,failure_reason
歌劇生死戀 The Opera!,The Opera!,2025-05-09,107,https://image.tmdb.org/t/p/original/hBobr2XoBH3zvKd5AfEexThxwnr.jpg,1261049,Yes,
劇場版 世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing,世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing,2025-03-28,110,https://image.tmdb.org/t/p/original/vCIfP3PFQ6vx23U4ZCMMygrc1eB.jpg,1322752,Yes,
美國隊長：無畏新世界 Captain America: Brave New World,Captain America: Brave New World,2025-02-12,118,https://image.tmdb.org/t/p/original/uaed9ZZbdOK39feGoA8iNCmbE6.jpg,822119,Yes,
Ado SPECIAL LIVE “心臟” in Cinema Ado SPECIAL LIVE “Shinzou” in Cinema,SPECIAL LIVE “心臟” in Cinema Ado SPECIAL LIVE “Shinzou” in Cinema,2025-04-18,141,,,No,在TMDB上找不到電影: Ado SPECIAL LIVE “心臟” in Cinema Ado SPECIAL LIVE “Shinzou” in Cinema
非紳士特攻隊 The Ministry of Ungentlemanly Warfare,The Ministry of Ungentlemanly Warfare,2024-04-19,120,https://image.tmdb.org/t/p/original/eIUo4bcXxxwsIXjfuMySIve7ufm.jpg,799583,Yes,
GIVEN被贈與的未來劇場版：去海邊 Given 3: To the Sea,Given 3: To the Sea,2025-04-02,80,https://image.tmdb.org/t/p/original/2VLnT5JtJ77ErG6GD3c1J628VLp.jpg,1317276,Yes,
秘密會議 Conclave,Conclave,2025-03-07,120,https://image.tmdb.org/t/p/original/1BWhKsbUTiBD0WQhrOfQlU6zrc5.jpg,974576,Yes,
跳進部落的孩子 Dancing Home,Dancing Home,2025-04-30,90,https://image.tmdb.org/t/p/original/nfpp4DyCwnN9ow9SXK9AjF3pqng.jpg,1369302,Yes,
天氣之子 Weathering With You,Weathering With You,2020-05-15,112,https://image.tmdb.org/t/p/original/4IKNr9R9HpaIUFVHivTDa3Vdplj.jpg,568160,Yes,
復仇反擊戰 The Amateur,The Amateur,2025-04-11,122,https://image.tmdb.org/t/p/original/bgkVm20XVVLdRlwzaIfMSvXVApF.jpg,1087891,Yes,
當我們懶在一起 The Sloth Lane,The Sloth Lane,2025-03-28,89,https://image.tmdb.org/t/p/original/toBN1A9AnhoUzXyu9gaVyQVJehp.jpg,1189423,Yes,
與夢前行 宮﨑駿 Hayao Miyazaki and the Heron,宮﨑駿 Hayao Miyazaki and the Heron,2024-10-10,120,https://image.tmdb.org/t/p/original/ihxkyyvLdAjpRfBNXSpEFx6joSN.jpg,1292585,Yes,
為你找個家,,,,https://image.tmdb.org/t/p/original/bjfYsy0BtpxYTg60pq3HvruTe8t.jpg,728142,Yes,
海洋奇緣2 Moana 2,Moana 2,2024-11-28,99,https://image.tmdb.org/t/p/original/vyAk20KmD0GVp95ZcOgDkoXKq30.jpg,1241982,Yes,
窒息倒數 Last Breath,Last Breath,2025-02-28,93,https://image.tmdb.org/t/p/original/3UkUzS10UTdl9rfT0hkxQ9qTTBP.jpg,972533,Yes,
誰在看著我們 Who are Watching over us,Who are Watching over us,2025-05-09,81,https://image.tmdb.org/t/p/original/iv7WZKutR9FGYuRg5LFA3hWFIAe.jpg,1002317,Yes,
夜校女生 The Uniform,The Uniform,2025-02-27,109,https://image.tmdb.org/t/p/original/a1xWMqQLgW3xqnzS99HU9fN628E.jpg,1335881,Yes,
破·地獄 Po · Dei Juk,Po · Dei Juk,2024-12-06,126,https://image.tmdb.org/t/p/original/fA27nlZSOhCY8Zol2NHqaTdHo3w.jpg,1226141,Yes,
"宮﨑駿的奇幻世界 Miyazaki, Spirit of Nature","Miyazaki, Spirit of Nature",2025-05-09,85,https://image.tmdb.org/t/p/original/2vKKMcUqfhtgpXQguBNr56jXDEM.jpg,1320480,Yes,
所以親親會消失對不對 My Love Will Make You Disappear,My Love Will Make You Disappear,2025-05-09,104,https://image.tmdb.org/t/p/original/niB2N7S2R9ADYPV48SN9U8r6IJh.jpg,1321380,Yes,
完美伴侶 Companion,Companion,2025-01-29,97,https://image.tmdb.org/t/p/original/gDr3gQme9seqs9inYpewleZXe3A.jpg,1084199,Yes,
絕命終結站 血脈 Final Destination: Bloodlines,血脈 Final Destination: Bloodlines,2025-05-14,109,https://image.tmdb.org/t/p/original/ebTm4k4EkHuGzum8xFJqIiQCZFj.jpg,574475,Yes,
夏日最後的祕密 Summer Blue Hour,Summer Blue Hour,2025-04-30,115,https://image.tmdb.org/t/p/original/kMFzAI0CGtkgTso0KE1CeJVEPDQ.jpg,1414620,Yes,
冥婚鬧泰大 The Red Envelope,The Red Envelope,2025-05-09,127,https://image.tmdb.org/t/p/original/yQk7ri7mpbh3wSexFyzSn0oOxXV.jpg,1317920,Yes,
蝸牛少女回憶錄 Memoir of a Snail,Memoir of a Snail,2025-05-16,94,https://image.tmdb.org/t/p/original/kM0gfnanT6Sc2H5r8Bm113M3T50.jpg,1064486,Yes,
雷霆特攻隊* Thunderbolts,Thunderbolts,2025-04-30,126,https://image.tmdb.org/t/p/original/vU3Ir6FXUvHvm3ASYN7Wl0qhgLn.jpg,986056,Yes,
對街的小星星 Solitude,Solitude,2025-05-16,76,https://image.tmdb.org/t/p/original/aD4tp0xy94HOotSYq5QuZVAKwlG.jpg,1053947,Yes,
不可能的任務：最終清算 Mission: Impossible - The Final Reckoning,Mission: Impossible - The Final Reckoning,2025-05-17,163,https://image.tmdb.org/t/p/original/yST2muE4NfZTE0y3uMne1iQJYi1.jpg,575265,Yes,
取精急轉彎 Spermageddon,Spermageddon,2025-04-25,79,https://image.tmdb.org/t/p/original/dZ57Jy8oohLNjXpk9CIQozpRFF9.jpg,1064307,Yes,
花束般的戀愛 We Made a Beautiful Bouquet,We Made a Beautiful Bouquet,2025-04-30,123,https://image.tmdb.org/t/p/original/3Z8ezMWxB7lH8MfRCV0X0RHQLWz.jpg,695932,Yes,
怪獸8號：Mission Recon Kaiju No.8,Recon Kaiju No.8,2025-05-01,120,https://image.tmdb.org/t/p/original/gGjJIqPkPYLnbEvsACDQn8ZIEBh.jpg,1326106,Yes,
