[2025-05-06T06:50:22.776Z] 開始資料庫更新流程
[2025-05-06T06:50:22.782Z] 開始ATMovies 場次爬蟲...
[2025-05-06T07:05:10.686Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 14:50:23,704 - INFO - 開始執行爬蟲...
2025-05-06 14:50:23,705 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/
2025-05-06 14:50:23,815 - INFO - 成功載入 1 個區域（只抽取台北區域）
2025-05-06 14:50:23,815 - INFO - 抽取今天、明天和後天共 3 天的場次資訊
2025-05-06 14:50:23,815 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/a02/
2025-05-06 14:50:23,870 - INFO - 在區域 台北 找到 42 家電影院
2025-05-06 14:50:24,874 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a01/a02/
2025-05-06 14:50:24,991 - INFO - 確認電影院名稱: 台北信義威秀
2025-05-06 14:50:24,994 - INFO - 在 台北信義威秀 - 今天 找到 31 個場次
2025-05-06 14:50:25,999 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a01/a02/20250507/
2025-05-06 14:50:36,007 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02a01/a02/20250507/
2025-05-06 14:50:36,008 - INFO - 等待 3 秒後重試...
2025-05-06 14:50:39,009 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a01/a02/20250507/
2025-05-06 14:50:46,423 - INFO - 確認電影院名稱: 台北信義威秀
2025-05-06 14:50:46,426 - INFO - 在 台北信義威秀 - 明天 找到 77 個場次
2025-05-06 14:50:47,431 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a01/a02/20250508/
2025-05-06 14:50:56,422 - INFO - 確認電影院名稱: 台北信義威秀
2025-05-06 14:50:56,425 - INFO - 在 台北信義威秀 - 後天 找到 77 個場次
2025-05-06 14:50:57,430 - INFO - 完成電影院 台北信義威秀 的資料收集
2025-05-06 14:50:57,430 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a07/a02/
2025-05-06 14:51:00,662 - INFO - 確認電影院名稱: 新民生戲院
2025-05-06 14:51:00,664 - INFO - 在 新民生戲院 - 今天 找到 13 個場次
2025-05-06 14:51:01,668 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a07/a02/20250507/
2025-05-06 14:51:04,511 - INFO - 確認電影院名稱: 新民生戲院
2025-05-06 14:51:04,512 - INFO - 在 新民生戲院 - 明天 找到 13 個場次
2025-05-06 14:51:05,516 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a07/a02/20250508/
2025-05-06 14:51:06,249 - INFO - 確認電影院名稱: 新民生戲院
2025-05-06 14:51:06,250 - INFO - 在 新民生戲院 - 後天 找到 13 個場次
2025-05-06 14:51:07,256 - INFO - 完成電影院 新民生戲院 的資料收集
2025-05-06 14:51:07,258 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a03/a02/
2025-05-06 14:51:07,339 - INFO - 確認電影院名稱: 微風影城
2025-05-06 14:51:07,340 - INFO - 在 微風影城 - 今天 找到 8 個場次
2025-05-06 14:51:08,344 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a03/a02/20250507/
2025-05-06 14:51:09,211 - INFO - 確認電影院名稱: 微風影城
2025-05-06 14:51:09,212 - INFO - 在 微風影城 - 明天 找到 11 個場次
2025-05-06 14:51:10,217 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a03/a02/20250508/
2025-05-06 14:51:11,260 - INFO - 確認電影院名稱: 微風影城
2025-05-06 14:51:11,261 - INFO - 在 微風影城 - 後天 找到 11 個場次
2025-05-06 14:51:12,266 - INFO - 完成電影院 微風影城 的資料收集
2025-05-06 14:51:12,266 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a08/a02/
2025-05-06 14:51:12,345 - INFO - 確認電影院名稱: 誠品電影院
2025-05-06 14:51:12,347 - INFO - 在 誠品電影院 - 今天 找到 15 個場次
2025-05-06 14:51:13,353 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a08/a02/20250507/
2025-05-06 14:51:14,951 - INFO - 確認電影院名稱: 誠品電影院
2025-05-06 14:51:14,953 - INFO - 在 誠品電影院 - 明天 找到 14 個場次
2025-05-06 14:51:15,956 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a08/a02/20250508/
2025-05-06 14:51:18,738 - INFO - 確認電影院名稱: 誠品電影院
2025-05-06 14:51:18,739 - INFO - 在 誠品電影院 - 後天 找到 14 個場次
2025-05-06 14:51:19,742 - INFO - 完成電影院 誠品電影院 的資料收集
2025-05-06 14:51:19,742 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a09/a02/
2025-05-06 14:51:19,843 - INFO - 確認電影院名稱: 喜樂時代影城
2025-05-06 14:51:19,848 - INFO - 在 喜樂時代影城 - 今天 找到 139 個場次
2025-05-06 14:51:20,853 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a09/a02/20250507/
2025-05-06 14:51:28,796 - INFO - 確認電影院名稱: 喜樂時代影城
2025-05-06 14:51:28,801 - INFO - 在 喜樂時代影城 - 明天 找到 140 個場次
2025-05-06 14:51:29,806 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a09/a02/20250508/
2025-05-06 14:51:36,166 - INFO - 確認電影院名稱: 喜樂時代影城
2025-05-06 14:51:36,170 - INFO - 在 喜樂時代影城 - 後天 找到 140 個場次
2025-05-06 14:51:37,175 - INFO - 完成電影院 喜樂時代影城 的資料收集
2025-05-06 14:51:37,176 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/
2025-05-06 14:51:40,373 - INFO - 確認電影院名稱: MUVIE CINEMAS台北松仁威秀
2025-05-06 14:51:40,377 - INFO - 在 MUVIE CINEMAS台北松仁威秀 - 今天 找到 41 個場次
2025-05-06 14:51:41,383 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/20250507/
2025-05-06 14:51:47,781 - INFO - 確認電影院名稱: MUVIE CINEMAS台北松仁威秀
2025-05-06 14:51:47,783 - INFO - 在 MUVIE CINEMAS台北松仁威秀 - 明天 找到 33 個場次
2025-05-06 14:51:48,788 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/20250508/
2025-05-06 14:51:58,797 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02a11/a02/20250508/
2025-05-06 14:51:58,798 - INFO - 等待 3 秒後重試...
