[2025-05-06T09:54:10.614Z] 開始資料庫更新流程
[2025-05-06T09:54:10.629Z] 開始ATMovies 場次爬蟲...
[2025-05-06T09:59:38.827Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 17:54:11,477 - INFO - 成功載入 1 個區域（只抽取台北區域）
2025-05-06 17:54:11,477 - INFO - 抽取今天、明天和後天共 3 天的場次資訊
2025-05-06 17:54:11,477 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/a02/
2025-05-06 17:54:11,671 - INFO - 在區域 台北 找到 42 家電影院
2025-05-06 17:54:11,671 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a01/a02/
2025-05-06 17:54:11,672 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a07/a02/
2025-05-06 17:54:11,672 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a03/a02/
2025-05-06 17:54:11,672 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a08/a02/
2025-05-06 17:54:11,673 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a09/a02/
2025-05-06 17:54:11,760 - INFO - 確認電影院名稱: 台北信義威秀
2025-05-06 17:54:11,762 - INFO - 在 台北信義威秀 - 今天 找到 31 個場次
2025-05-06 17:54:11,763 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a01/a02/20250507/
2025-05-06 17:54:11,845 - INFO - 確認電影院名稱: 微風影城
2025-05-06 17:54:11,846 - INFO - 在 微風影城 - 今天 找到 8 個場次
2025-05-06 17:54:11,846 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a03/a02/20250507/
2025-05-06 17:54:11,875 - INFO - 確認電影院名稱: 誠品電影院
2025-05-06 17:54:11,879 - INFO - 在 誠品電影院 - 今天 找到 15 個場次
2025-05-06 17:54:11,879 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a08/a02/20250507/
2025-05-06 17:54:11,920 - INFO - 確認電影院名稱: 新民生戲院
2025-05-06 17:54:11,922 - INFO - 在 新民生戲院 - 今天 找到 13 個場次
2025-05-06 17:54:11,922 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a07/a02/20250507/
2025-05-06 17:54:11,991 - INFO - 確認電影院名稱: 喜樂時代影城
2025-05-06 17:54:11,996 - INFO - 在 喜樂時代影城 - 今天 找到 139 個場次
2025-05-06 17:54:11,996 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a09/a02/20250507/
2025-05-06 17:54:18,264 - INFO - 確認電影院名稱: 微風影城
2025-05-06 17:54:18,266 - INFO - 在 微風影城 - 明天 找到 11 個場次
2025-05-06 17:54:18,266 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a03/a02/20250508/
2025-05-06 17:54:19,901 - INFO - 確認電影院名稱: 新民生戲院
2025-05-06 17:54:19,902 - INFO - 在 新民生戲院 - 明天 找到 13 個場次
2025-05-06 17:54:19,903 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a07/a02/20250508/
2025-05-06 17:54:22,780 - INFO - 確認電影院名稱: 微風影城
2025-05-06 17:54:22,781 - INFO - 在 微風影城 - 後天 找到 11 個場次
2025-05-06 17:54:22,781 - INFO - 完成電影院 微風影城 的資料收集
2025-05-06 17:54:22,781 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02a01/a02/20250507/
2025-05-06 17:54:22,782 - INFO - 等待 3 秒後重試...
2025-05-06 17:54:22,782 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02a09/a02/20250507/
