 id  |                           name                            |         address         |  latitude  |  longitude  |  source   | external_id |       created_at        |       updated_at        |  city  |                  district                   |         type         
-----+-----------------------------------------------------------+-------------------------+------------+-------------+-----------+-------------+-------------------------+-------------------------+--------+---------------------------------------------+----------------------
   1 | 基隆秀泰影城                                              | 中正區信一路177號       | 25.1309333 |  121.744792 | wikipedia | cinema_1    | 2025-05-06 14:35:34.358 | 2025-05-06 14:35:34.358 | 基隆市 | 中正區                                      | 首輪
   2 | 台北信義威秀影城                                          | 信義區松壽路16、18號    | 25.0356102 |   121.56654 | wikipedia | cinema_2    | 2025-05-06 14:35:34.361 | 2025-05-06 14:35:34.361 | 臺北市 | 信義區                                      | 首輪、首輪藝術
   3 | MUVIE CINEMAS松仁威秀                                     | 信義區松仁路58號        | 25.0367556 | 121.5679505 | wikipedia | cinema_3    | 2025-05-06 14:35:34.361 | 2025-05-06 14:35:34.361 | 臺北市 | 信義區                                      | 首輪
   4 | 誠品電影院                                                | 信義區菸廠路80號        | 25.0446343 | 121.5616125 | wikipedia | cinema_4    | 2025-05-06 14:35:34.361 | 2025-05-06 14:35:34.361 | 臺北市 | 信義區                                      | 首輪、首輪藝術
   5 | 喜樂時代影城南港店                                        | 南港區忠孝東路七段299號 | 25.0525541 | 121.6045939 | wikipedia | cinema_5    | 2025-05-06 14:35:34.362 | 2025-05-06 14:35:34.362 | 臺北市 | 南港區                                      | 首輪、首輪藝術
   6 | 台北京站威秀影城                                          | 大同區市民大道一段209號 | 25.0491295 | 121.5182923 | wikipedia | cinema_6    | 2025-05-06 14:35:34.362 | 2025-05-06 14:35:34.362 | 臺北市 | 大同區                                      | 首輪
   7 | 新民生戲院                                                | 松山區民生東路五段190號 | 25.0586876 | 121.5641453 | wikipedia | cinema_7    | 2025-05-06 14:35:34.362 | 2025-05-06 14:35:34.362 | 臺北市 | 松山區                                      | 首輪
   8 | 總督影城                                                  | 松山區長安東路二段219號 | 25.0483627 |  121.544872 | wikipedia | cinema_8    | 2025-05-06 14:35:34.363 | 2025-05-06 14:35:34.363 | 臺北市 | 松山區                                      | 首輪
   9 | 微風影城                                                  | 松山區復興南路一段39號  | 25.0459159 | 121.5452192 | wikipedia | cinema_9    | 2025-05-06 14:35:34.363 | 2025-05-06 14:35:34.363 | 臺北市 | 松山區                                      | 首輪
  10 | 哈拉影城                                                  | 內湖區康寧路三段72號    | 25.0696916 | 121.6114623 | wikipedia | cinema_10   | 2025-05-06 14:35:34.364 | 2025-05-06 14:35:34.364 | 臺北市 | 內湖區                                      | 首輪
  11 | 國賓大戲院                                                | 萬華區成都路88號        | 25.0429619 | 121.5045693 | wikipedia | cinema_11   | 2025-05-06 14:35:34.364 | 2025-05-06 14:35:34.364 | 臺北市 | 萬華區                                      | 首輪
  12 | 樂聲影城                                                  | 萬華區武昌街二段85號    |  25.045373 | 121.5048323 | wikipedia | cinema_12   | 2025-05-06 14:35:34.364 | 2025-05-06 14:35:34.364 | 臺北市 | 萬華區                                      | 首輪
  13 | 台北西門町in89豪華數位影城                                | 萬華區武昌街二段89號    |  25.045536 | 121.5040534 | wikipedia | cinema_13   | 2025-05-06 14:35:34.365 | 2025-05-06 14:35:34.365 | 臺北市 | 萬華區                                      | 首輪
  14 | 台北獅子林新光影城                                        | 萬華區西寧南路36號      | 25.0450439 | 121.5062379 | wikipedia | cinema_14   | 2025-05-06 14:35:34.365 | 2025-05-06 14:35:34.365 | 臺北市 | 萬華區                                      | 首輪
  15 | 台北真善美劇院                                            | 萬華區漢中街116號       | 25.0428605 | 121.5072911 | wikipedia | cinema_15   | 2025-05-06 14:35:34.365 | 2025-05-06 14:35:34.365 | 臺北市 | 萬華區                                      | 首輪藝術
  16 | 台北西門威秀影城                                          | 萬華區漢中街52號        | 25.0438973 | 121.5071127 | wikipedia | cinema_16   | 2025-05-06 14:35:34.365 | 2025-05-06 14:35:34.365 | 臺北市 | 萬華區                                      | 首輪
  17 | 喜樂時代影城今日店                                        | 萬華區峨嵋街52號        | 25.0436534 | 121.5053281 | wikipedia | cinema_17   | 2025-05-06 14:35:34.365 | 2025-05-06 14:35:34.365 | 臺北市 | 萬華區                                      | 首輪
  18 | 百老匯數位影城                                            | 文山區羅斯福路四段200號 | 25.0107917 | 121.5369093 | wikipedia | cinema_18   | 2025-05-06 14:35:34.365 | 2025-05-06 14:35:34.365 | 臺北市 | 文山區                                      | 首輪
  19 | 光點華山電影館                                            | 中正區八德路一段1號     | 25.0432788 | 121.5293005 | wikipedia | cinema_19   | 2025-05-06 14:35:34.366 | 2025-05-06 14:35:34.366 | 臺北市 | 中正區八德路一段1號（華山文創園區           | 首輪藝術
  20 | 台北長春國賓影城                                          | 中山區長春路176號       | 25.0545942 | 121.5341874 | wikipedia | cinema_20   | 2025-05-06 14:35:34.366 | 2025-05-06 14:35:34.366 | 臺北市 | 中山區                                      | 首輪、首輪藝術
  21 | 台北欣欣秀泰影城                                          | 中山區林森北路247號     | 25.0541282 |  121.525751 | wikipedia | cinema_21   | 2025-05-06 14:35:34.366 | 2025-05-06 14:35:34.366 | 臺北市 | 中山區                                      | 首輪
  22 | 光點台北                                                  | 中山區中山北路二段18號  | 25.0534605 | 121.5223736 | wikipedia | cinema_22   | 2025-05-06 14:35:34.366 | 2025-05-06 14:35:34.366 | 臺北市 | 中山區                                      | 首輪藝術
