id,full_title,atmovies_id
1099,2018大洪水 2018：Everyone is a Hero,ein89006564
935,2018大洪水 2018：Everyone is a Hero,fein89006564
911,366日 366 Days,fdjp34442690
1076,366日 366 Days,djp34442690
1051,ATEEZ演唱會電影 ATEEZ WORLD TOUR,ako92197800
883,ATEEZ演唱會電影 ATEEZ WORLD TOUR,fako92197800
1055,GIVEN被贈與的未來劇場版：去海邊 Given 3: To the Sea,gjp35631332
885,GIVEN被贈與的未來劇場版：去海邊 Given 3: To the Sea,fgjp35631332
1040,MINECRAFT麥塊電影 A Minecraft Movie,aen83566834
872,MINECRAFT麥塊電影 A Minecraft Movie,faen83566834
1033,不可能的任務：最終清算 Mission: Impossible - The Final Reckoning,men62168299
865,不可能的任務：最終清算 Mission: Impossible - The Final Reckoning,fmen62168299
930,何處 Where,fwtw27118867
877,冥婚鬧泰大 The Red Envelope,frth33636006
1045,冥婚鬧泰大 The Red Envelope,rth33636006
920,分手的決心 Decision to Leave,fdkr12477480
1066,劇場版 世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing,gjp33050528
894,劇場版 世界計畫 Colorful Stage! The Movie: A Miku Who Can't Sing,fgjp33050528
905,北極小迷狐：吉娜&尤克 Kina & Yuk,fkfr28185868
1071,北極小迷狐：吉娜&尤克 Kina & Yuk,kfr28185868
882,取精急轉彎 Spermageddon,fsno14828040
1050,取精急轉彎 Spermageddon,sno14828040
910,叛逃公主歷險記 Rebellious,fren32155919
1075,叛逃公主歷險記 Rebellious,ren32155919
932,台北追緝令 Weekend in Taipei,fwen28142896
1096,台北追緝令 Weekend in Taipei,wen28142896
938,哈爾濱 Harbin,fhko23630030
1102,哈爾濱 Harbin,hko23630030
1083,喵的奇幻漂流 Flow,fel64772188
917,喵的奇幻漂流 Flow,ffel64772188
1064,器子 Organ Girl,atw29493077
897,器子 Organ Girl,fatw29493077
878,囍宴 The Wedding Banquet,fwen32214413
1046,囍宴 The Wedding Banquet,wen32214413
1080,型男主廚三星夢：巴黎篇 Grand Maison Paris,gja32868318
915,型男主廚三星夢：巴黎篇 Grand Maison Paris,fgja32868318
1077,夏之庭 The Friends(1994),fjp30110630
912,夏之庭 The Friends(1994),ffjp30110630
1041,夏日最後的祕密 Summer Blue Hour,scn72884478
873,夏日最後的祕密 Summer Blue Hour,fscn72884478
934,夜校女生 The Uniform,fucn33708235
1098,夜校女生 The Uniform,ucn33708235
902,天氣之子 Weathering With You,fwjp49426210
1067,天氣之子 Weathering With You,wjp49426210
1053,奧德蓋任務 Old Guy,oen26442053
888,奧德蓋任務 Old Guy,foen26442053
1072,學姊是男孩劇場版 Senpai is an Otokonoko,sjp33507588
900,學姊是男孩劇場版 Senpai is an Otokonoko,fsjp33507588
1047,"宮﨑駿的奇幻世界 Miyazaki, Spirit of Nature",men33030449
879,"宮﨑駿的奇幻世界 Miyazaki, Spirit of Nature",fmen33030449
867,對街的小星星 Solitude,fsis26218798
1034,對街的小星星 Solitude,sis26218798
1070,少年與狗 The Boy and the Dog,bja29324132
899,少年與狗 The Boy and the Dog,fbja29324132
907,帶針的女孩 The Girl with the Needle,fgda10236164
1074,復仇反擊戰 The Amateur,aen50899043
909,復仇反擊戰 The Amateur,faen50899043
1092,心的告白 Heartbeat,hen29531790
928,心的告白 Heartbeat,fhen29531790
861,怒女 Wannabe,fwko31414806
1029,怒女 Wannabe,wko31414806
887,怪獸8號：Mission Recon Kaiju No.8,fkjp35636950
1054,怪獸8號：Mission Recon Kaiju No.8,kjp35636950
1101,感應 Presence,pen28249919
937,感應 Presence,fpen28249919
1084,我們的恐龍日記 Crayon Shinchan the Movie: Our Dinosaur Diary,cjp30400536
